Rk,Player,Age,Tm,Pos,GP▼,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.
108,Alex Ovechkin\ovechal01,33,WSH,LW,81,37,0.63,0.47,1.10,0.46,0.49,4.17,52,38,90,39,138,47,85,0,7,57.3,67.1,-9.8,9.2,1.8,11.0,4,2,2,50.0
109,Elias Lindholm\lindhel01,24,CGY,C,81,28,0.33,0.63,0.96,0.35,0.25,2.25,27,51,78,29,125,38,78,21,30,56.6,46.3,10.2,5.9,2.6,8.4,1,0,1,0.0
110,Oliver Ekman-Larsson\ekmanol01,27,ARI,D,81,16,0.17,0.37,0.54,0.20,0.64,2.17,14,30,44,16,86,26,88,11,-16,60.3,68.9,-8.7,3.7,4.2,7.9,0,,,
111,David Krejci\krejcda01,32,BOS,C,81,25,0.25,0.65,0.90,0.31,0.20,1.72,20,53,73,25,93,24,64,2,7,56.2,48.3,7.9,5.3,2.0,7.3,1,0,1,0.0
112,Logan Couture\coutulo01,29,SJS,C,81,26,0.33,0.53,0.86,0.32,0.27,2.52,27,43,70,26,108,36,96,15,-6,55.4,53.9,1.5,5.4,1.2,6.6,3,0,3,0.0
113,Gustav Nyquist\nyquigu01,29,TOT,RW,81,22,0.27,0.47,0.74,0.27,0.15,2.52,22,38,60,22,87,14,73,1,1,67.5,55.9,11.6,4.3,1.6,5.8,0,,,
114,Ron Hainsey\hainsro01,37,TOR,D,81,8,0.06,0.22,0.28,0.09,0.26,1.00,5,18,23,8,93,1,93,32,30,65.7,72.5,-6.8,0.8,4.8,5.6,0,,,
115,Brett Connolly\connobr01,26,WSH,RW,81,18,0.27,0.30,0.57,0.22,0.30,1.72,22,24,46,19,63,6,43,0,13,46.1,44.3,1.8,3.7,1.5,5.2,0,,,
116,Eric Staal\staaler01,34,MIN,C,81,20,0.27,0.37,0.64,0.25,0.42,2.65,22,30,52,20,86,31,62,0,-7,57.2,45.7,11.5,3.3,1.9,5.1,0,,,
117,Anze Kopitar\kopitan01,31,LAK,C,81,23,0.27,0.47,0.74,0.28,0.37,1.93,22,38,60,22,92,27,113,29,-20,57.5,67.3,-9.8,3.3,1.7,5.0,7,3,4,42.9
118,Jordie Benn\bennjo01,31,MTL,D,81,7,0.06,0.21,0.27,0.09,0.48,1.15,5,17,22,7,71,0,80,23,15,55.4,50.4,5.1,0.9,4.0,4.8,0,,,
119,Phillip Danault\danauph01,25,MTL,LW,81,17,0.15,0.51,0.65,0.22,0.48,1.63,12,41,53,18,81,6,81,23,17,61.9,49.6,12.3,2.5,2.1,4.6,0,,,
120,Jonathan Drouin\drouijo01,23,MTL,LW,81,19,0.22,0.43,0.65,0.24,0.32,2.35,18,35,53,19,77,22,64,0,-8,52.3,52.0,0.3,3.3,1.1,4.4,3,2,1,66.7
121,Brayden McNabb\mcnabbr01,28,VEG,D,81,6,0.05,0.15,0.20,0.07,0.64,1.04,4,12,16,5,70,0,90,31,11,66.0,57.4,8.6,0.1,4.2,4.3,0,,,
