Rk,Player,Tm,Pos,Shift,GP▼,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60
69,Matt Calvert\calvema01,COL,LW,0:37,82,,11:43,0.5,2.3,3.1,,0:12,3.8,7.9,0.0,,2:15,-2.0,0.7,8.1
70,Max Domi\domima01,MTL,LW,0:49,82,,14:45,-3.5,3.9,2.7,,2:34,-0.7,4.5,1.1,,0:03,7.9,0.0,0.0
71,Mika Zibanejad\zibanmi01,NYR,C,0:37,82,,15:43,3.4,2.9,3.6,,2:50,0.6,8.2,0.5,,1:59,-6.9,1.1,8.9
72,Mike Hoffman\hoffmmi02,FLA,C/LW,0:37,82,,14:23,2.0,2.5,3.4,,3:26,1.9,11.7,1.5,,0:00,-18.3,0.0,46.8
73,Miro Heiskanen\heiskmi01,DAL,D,0:36,82,,20:03,3.8,2.4,2.9,,1:39,1.1,5.7,0.0,,1:23,5.1,0.5,5.8
74,Mitch Marner\marnemi01,TOR,RW,0:46,82,,15:52,0.0,4.4,3.3,,2:35,7.6,9.3,1.4,,1:21,14.5,1.6,5.4
75,Morgan Rielly\riellmo01,TOR,D,0:43,82,,19:26,0.1,4.3,3.3,,2:36,3.3,8.9,1.4,,1:04,0.1,0.7,5.5
76,Nathan MacKinnon\mackina01,COL,C,0:51,82,,17:54,5.4,3.7,2.8,,4:04,-3.1,9.0,0.5,,0:06,18.1,0.0,13.8
77,Nick Leddy\leddyni01,NYI,D,1:01,82,,18:21,-5.4,2.7,2.6,,2:47,2.6,4.9,0.0,,0:23,11.1,0.0,3.8
78,Nikita Kucherov\kucheni01,TBL,RW,0:57,82,,16:11,2.2,4.3,3.0,,3:42,6.7,11.8,0.6,,0:03,8.6,0.0,33.0
79,Niklas Hjalmarsson\hjalmni01,ARI,D,0:43,82,,16:31,-0.1,2.1,2.4,,0:01,15.1,42.4,0.0,,3:09,1.2,2.9,4.8
80,Nino Niederreiter\niedeni01,TOT,RW,1:00,82,,13:57,6.5,3.5,2.5,,2:15,3.8,8.0,1.3,,0:01,14.8,0.0,0.0
81,Patrick Marleau\marlepa01,TOR,C,0:33,82,,14:30,-1.9,2.9,2.9,,1:45,-2.1,6.8,2.0,,0:04,18.2,0.0,11.4
82,Patrik Laine\lainepa01,WPG,RW,0:46,82,,13:42,-3.5,2.7,3.7,,3:30,1.9,9.6,1.0,,0:00,,0.0,0.0
83,Phil Kessel\kesseph01,PIT,RW,0:56,82,,14:45,-2.7,2.8,3.1,,3:12,1.6,9.6,2.8,,0:00,,0.0,0.0
84,Pierre-Luc Dubois\duboipi01,CBJ,LW,0:51,82,,15:14,2.8,4.1,3.3,,2:17,1.2,6.0,0.6,,0:10,-4.9,0.0,8.2
85,Rasmus Dahlin\dahlira01,BUF,D,0:41,82,,18:08,4.5,2.7,3.0,,2:51,-0.4,7.2,1.5,,0:09,-4.5,0.0,4.6
86,Riley Sheahan\sheahri01,TOT,C,0:48,82,,11:25,-0.1,2.1,2.6,,0:03,-35.2,0.0,0.0,,1:59,0.2,1.0,4.9
87,Robert Hagg\haggro01,PHI,D,0:34,82,,15:07,-6.7,2.8,3.0,,0:03,-5.6,0.0,0.0,,1:46,-3.2,0.4,7.7
88,Roman Josi\josiro01,NSH,D,0:42,82,,19:35,-0.6,3.1,2.7,,2:58,3.7,4.2,1.2,,2:35,1.1,1.1,6.2
89,Ryan Ellis\ellisry01,NSH,D,0:44,82,,19:14,-2.1,3.3,2.4,,2:05,4.8,4.2,1.4,,2:40,0.3,1.1,6.3
90,Ryan McDonagh\mcdonry01,TBL,D,0:47,82,,18:16,-2.6,3.8,2.5,,0:39,-0.6,8.8,0.0,,3:08,-3.3,1.4,4.9
91,Ryan Nugent-Hopkins\nugenry01,EDM,C,0:48,82,,15:09,-3.3,2.8,3.4,,3:14,5.4,9.3,0.9,,1:41,0.1,1.3,9.5
92,Ryan O'Reilly\oreilry01,STL,C,0:39,82,,15:54,2.9,3.4,2.4,,2:51,0.8,8.5,1.0,,1:59,-0.8,1.1,4.6
93,Ryan Pulock\pulocry01,NYI,D,0:43,82,,18:42,-1.4,2.9,2.0,,1:52,-1.3,4.1,0.0,,1:45,1.6,0.0,8.0
94,Ryan Suter\suterry01,MIN,D,0:57,82,,21:19,1.2,2.7,3.0,,3:03,-0.2,6.3,0.7,,2:18,0.3,1.3,8.7
95,Sam Reinhart\reinhsa01,BUF,C,0:45,82,,15:40,2.9,3.2,3.3,,3:12,1.7,7.3,1.8,,0:04,-3.9,0.0,10.2
96,Samuel Girard\girarsa01,COL,D,0:46,82,,17:44,-1.5,2.6,2.2,,2:00,1.3,7.4,0.7,,0:08,19.0,0.0,10.8
97,Scott Laughton\laughsc01,PHI,C,0:49,82,,12:26,-6.1,2.7,3.4,,0:09,-12.2,0.0,4.8,,2:14,-1.7,0.6,9.2
